"id","logId","link","itemId","internalLevel","internalSubtype","potionData","name","description","style","trait","quality","value","level","type","equipType","weaponType","armorType","craftType","armorRating","weaponPower","cond","enchantId","enchantLevel","enchantSubtype","enchantName","enchantDesc","maxCharges","abilityName","abilityDesc","abilityCooldown","setName","setBonusCount","setMaxEquipCount","setBonusCount1","setBonusCount2","setBonusCount3","setBonusCount4","setBonusCount5","setBonusDesc1","setBonusDesc2","setBonusDesc3","setBonusDesc4","setBonusDesc5","glyphMinLevel","glyphMaxLevel","runeType","runeRank","bindType","siegeHP","bookTitle","craftSkillRank","recipeRank","recipeQuality","refinedItemLink","resultItemLink","materialLevelDesc","traitDesc","traitAbilityDesc","traitCooldown","isUnique","isUniqueEquipped","isVendorTrash","isArmorDecay","isConsumable","icon","comment","tags","dyeData"
"70550163","-1","|H0:item:107884:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","0","1","0","Bow of Prayer","","4","5","0","2","-1","1","6","8","0","-1","0","0","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff0|r Magic Damage and restores |cffffff0|r Magicka.","100","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 1 Maximum Magicka","(3 items) Adds 1 Spell Damage","(4 items) Adds 1 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff0|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff0|r.","","-1","1","1","1","1","1","/esoui/art/icons/icon_missing.dds","?","",""
"70550162","-1","|H0:item:107884:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","0","0","0","Bow of Prayer","","4","5","1","2","-1","1","6","8","0","-1","0","0","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff0|r Magic Damage and restores |cffffff0|r Magicka.","200","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 1 Maximum Magicka","(3 items) Adds 1 Spell Damage","(4 items) Adds 1 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff0|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff0|r.","","-1","1","1","1","1","1","/esoui/art/icons/icon_missing.dds","?","",""
"70550165","-1","|H0:item:107884:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","1","0","Bow of Prayer","","4","5","0","6","1","1","6","8","0","-1","0","156","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff3|r Magic Damage and restores |cffffff0|r Magicka.","100","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 11 Maximum Magicka","(3 items) Adds 1 Spell Damage","(4 items) Adds 1 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff28|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff60|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","dropped","",""
"70551518","-1","|H0:item:107884:177:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","177","0","Bow of Prayer","","4","5","0","10","1","1","6","8","0","-1","0","168","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff3|r Magic Damage and restores |cffffff0|r Magicka.","100","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 22 Maximum Magicka","(3 items) Adds 3 Spell Damage","(4 items) Adds 3 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff56|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff120|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","unknown","",""
"70550164","-1","|H0:item:107884:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","0","0","Bow of Prayer","","4","5","1","6","1","1","6","8","0","-1","0","156","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff0|r Magic Damage and restores |cffffff0|r Magicka.","200","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 11 Maximum Magicka","(3 items) Adds 1 Spell Damage","(4 items) Adds 1 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff28|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff60|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","?","",""
"70551468","-1","|H0:item:107884:175:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","175","0","Bow of Prayer","","4","5","1","6","1","1","6","8","0","-1","0","156","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff80|r Magic Damage and restores |cffffff14|r Magicka.","200","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 11 Maximum Magicka","(3 items) Adds 1 Spell Damage","(4 items) Adds 1 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff28|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff60|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","unknown","",""
"70550166","-1","|H0:item:107884:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","2","0","Bow of Prayer","","4","5","1","10","1","1","6","8","0","-1","0","168","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff80|r Magic Damage and restores |cffffff14|r Magicka.","200","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 22 Maximum Magicka","(3 items) Adds 3 Spell Damage","(4 items) Adds 3 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff56|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff120|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","dropped","",""
"70550965","-1","|H0:item:107884:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","25","0","Bow of Prayer","","4","5","1","14","1","1","6","8","0","-1","0","180","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff80|r Magic Damage and restores |cffffff14|r Magicka.","200","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 33 Maximum Magicka","(3 items) Adds 4 Spell Damage","(4 items) Adds 4 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff84|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff180|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","crafted","",""
"70550715","-1","|H0:item:107884:20:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","20","0","Bow of Prayer","","4","5","1","16","1","1","6","8","0","-1","0","192","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff80|r Magic Damage and restores |cffffff14|r Magicka.","200","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 45 Maximum Magicka","(3 items) Adds 6 Spell Damage","(4 items) Adds 6 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff112|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff240|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","crafted","",""
"70551218","-1","|H0:item:107884:121:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","107884","1","121","0","Bow of Prayer","","4","5","2","6","1","1","6","8","0","-1","0","156","100","0","0","0","Absorb Magicka Enchantment","Deals |cffffff86|r Magic Damage and restores |cffffff16|r Magicka.","250","","","-1","Prayer Shawl","4","5","2","3","4","5","-1","(2 items) Adds 11 Maximum Magicka","(3 items) Adds 1 Spell Damage","(4 items) Adds 1 Magicka Recovery","(5 items) When you heal a friendly target, you have a |cffffff6|r% chance to grant them a damage shield that absorbs |cffffff28|r damage for |cffffff6|r seconds.","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increases Physical and Spell Resistance by |cffffff60|r.","","-1","1","1","1","1","1","/esoui/art/icons/gear_dunmer_bow_a.dds","unknown","",""
