"id","link","internalLevel","internalSubtype","quality","value","level","enchantName","enchantDesc","setMaxEquipCount","setBonusDesc1","setBonusDesc2","setBonusDesc3","traitDesc","comment"
"880821","|H0:item:23668:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","1","0","1","-1","","","0","(2 items) Adds 1 Stamina Recovery","(3 items) Adds 1 Maximum Stamina","(4 items) Adds 1 Stamina Recovery","Increase Maximum Stamina by |cffffff10|r.","?"
"880820","|H0:item:23668:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","0","1","1","-1","","","5","(2 items) Adds 1 Stamina Recovery","(3 items) Adds 1 Maximum Stamina","(4 items) Adds 1 Stamina Recovery","Increase Maximum Stamina by |cffffff10|r.","?"
"880823","|H0:item:23668:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","1","0","3","1","","","5","(2 items) Adds 1 Stamina Recovery","(3 items) Adds 11 Maximum Stamina","(4 items) Adds 1 Stamina Recovery","Increase Maximum Stamina by |cffffff20|r.","dropped"
"882176","|H0:item:23668:177:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","177","0","6","1","","","5","(2 items) Adds 3 Stamina Recovery","(3 items) Adds 22 Maximum Stamina","(4 items) Adds 3 Stamina Recovery","Increase Maximum Stamina by |cffffff30|r.","unknown"
"880822","|H0:item:23668:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","0","1","3","1","","","3","(2 items) Adds 1 Stamina Recovery","(3 items) Adds 11 Maximum Stamina","(4 items) Adds 1 Stamina Recovery","Increase Maximum Stamina by |cffffff20|r.","?"
"882126","|H0:item:23668:175:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","175","1","3","1","Stamina Recovery Enchantment","Adds |cffffff13|r Stamina Recovery.","5","(2 items) Adds 1 Stamina Recovery","(3 items) Adds 11 Maximum Stamina","(4 items) Adds 1 Stamina Recovery","Increase Maximum Stamina by |cffffff20|r.","unknown"
"880824","|H0:item:23668:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","2","1","6","1","Stamina Recovery Enchantment","Adds |cffffff13|r Stamina Recovery.","4","(2 items) Adds 3 Stamina Recovery","(3 items) Adds 22 Maximum Stamina","(4 items) Adds 3 Stamina Recovery","Increase Maximum Stamina by |cffffff30|r.","dropped"
"881623","|H0:item:23668:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","25","1","8","1","Stamina Recovery Enchantment","Adds |cffffff13|r Stamina Recovery.","5","(2 items) Adds 4 Stamina Recovery","(3 items) Adds 33 Maximum Stamina","(4 items) Adds 4 Stamina Recovery","Increase Maximum Stamina by |cffffff40|r.","crafted"
"881373","|H0:item:23668:20:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","20","1","10","1","Stamina Recovery Enchantment","Adds |cffffff13|r Stamina Recovery.","5","(2 items) Adds 6 Stamina Recovery","(3 items) Adds 45 Maximum Stamina","(4 items) Adds 6 Stamina Recovery","Increase Maximum Stamina by |cffffff50|r.","crafted"
"881876","|H0:item:23668:121:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","121","2","3","1","Stamina Recovery Enchantment","Adds |cffffff14|r Stamina Recovery.","5","(2 items) Adds 1 Stamina Recovery","(3 items) Adds 11 Maximum Stamina","(4 items) Adds 1 Stamina Recovery","Increase Maximum Stamina by |cffffff20|r.","unknown"
"881323","|H0:item:23668:19:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","19","2","10","1","Stamina Recovery Enchantment","Adds |cffffff14|r Stamina Recovery.","5","(2 items) Adds 6 Stamina Recovery","(3 items) Adds 45 Maximum Stamina","(4 items) Adds 6 Stamina Recovery","Increase Maximum Stamina by |cffffff50|r.","unknown"
"880825","|H0:item:23668:3:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","3","2","11","1","Stamina Recovery Enchantment","Adds |cffffff14|r Stamina Recovery.","4","(2 items) Adds 9 Stamina Recovery","(3 items) Adds 67 Maximum Stamina","(4 items) Adds 9 Stamina Recovery","Increase Maximum Stamina by |cffffff70|r.","dropped"
"881624","|H0:item:23668:26:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","26","2","11","1","Stamina Recovery Enchantment","Adds |cffffff14|r Stamina Recovery.","4","(2 items) Adds 9 Stamina Recovery","(3 items) Adds 67 Maximum Stamina","(4 items) Adds 9 Stamina Recovery","Increase Maximum Stamina by |cffffff70|r.","crafted"
"881643","|H0:item:23668:31:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","31","2","11","1","Stamina Recovery Enchantment","Adds |cffffff14|r Stamina Recovery.","5","(2 items) Adds 7 Stamina Recovery","(3 items) Adds 56 Maximum Stamina","(4 items) Adds 7 Stamina Recovery","Increase Maximum Stamina by |cffffff60|r.","crafted"
"880831","|H0:item:23668:9:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","9","2","12","1","Stamina Recovery Enchantment","Adds |cffffff14|r Stamina Recovery.","4","(2 items) Adds 10 Stamina Recovery","(3 items) Adds 78 Maximum Stamina","(4 items) Adds 10 Stamina Recovery","Increase Maximum Stamina by |cffffff80|r.","dropped"
"881374","|H0:item:23668:21:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","21","2","12","1","Stamina Recovery Enchantment","Adds |cffffff14|r Stamina Recovery.","4","(2 items) Adds 10 Stamina Recovery","(3 items) Adds 78 Maximum Stamina","(4 items) Adds 10 Stamina Recovery","Increase Maximum Stamina by |cffffff80|r.","crafted"
"881877","|H0:item:23668:122:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","122","3","3","1","Stamina Recovery Enchantment","Adds |cffffff16|r Stamina Recovery.","0","(2 items) Adds 1 Stamina Recovery","(3 items) Adds 11 Maximum Stamina","(4 items) Adds 1 Stamina Recovery","Increase Maximum Stamina by |cffffff20|r.","unknown"
