"id","link","internalLevel","internalSubtype","name","quality","value","level","enchantName","enchantDesc","comment"
"969802","|H0:item:26588:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","1","glyph of stamina","0","0","-1","","","?"
"969801","|H0:item:26588:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","0","glyph of stamina","1","0","-1","","","?"
"969804","|H0:item:26588:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","1","trifling glyph of stamina","0","0","1","","","dropped"
"971157","|H0:item:26588:177:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","177","trifling glyph of stamina","0","1","1","","","unknown"
"969803","|H0:item:26588:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","0","trifling glyph of stamina","1","0","1","","","?"
"971107","|H0:item:26588:175:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","175","trifling glyph of stamina","1","0","1","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","unknown"
"969805","|H0:item:26588:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","2","trifling glyph of stamina","1","1","1","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","dropped"
"970604","|H0:item:26588:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","25","trifling glyph of stamina","1","1","1","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","crafted"
"970354","|H0:item:26588:20:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","20","trifling glyph of stamina","1","2","1","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","crafted"
"970857","|H0:item:26588:121:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","121","trifling glyph of stamina","2","0","1","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","unknown"
"969806","|H0:item:26588:3:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","3","trifling glyph of stamina","2","2","1","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","dropped"
"969812","|H0:item:26588:9:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","9","trifling glyph of stamina","2","2","1","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","dropped"
"970304","|H0:item:26588:19:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","19","trifling glyph of stamina","2","2","1","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","unknown"
"970355","|H0:item:26588:21:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","21","trifling glyph of stamina","2","2","1","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","crafted"
"970605","|H0:item:26588:26:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","26","trifling glyph of stamina","2","2","1","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","crafted"
"970624","|H0:item:26588:31:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","31","trifling glyph of stamina","2","2","1","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","crafted"
"970858","|H0:item:26588:122:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","122","trifling glyph of stamina","3","0","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","unknown"
"969807","|H0:item:26588:4:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","4","trifling glyph of stamina","3","2","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","dropped"
"969810","|H0:item:26588:7:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","7","trifling glyph of stamina","3","2","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","dropped"
"970254","|H0:item:26588:11:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","11","trifling glyph of stamina","3","2","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","dropped"
"970606","|H0:item:26588:27:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","27","trifling glyph of stamina","3","2","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","crafted"
"970674","|H0:item:26588:32:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","32","trifling glyph of stamina","3","2","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","crafted"
"970687","|H0:item:26588:49:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","49","trifling glyph of stamina","3","2","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","unknown"
"970688","|H0:item:26588:50:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","50","trifling glyph of stamina","3","2","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","unknown"
"970356","|H0:item:26588:22:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","22","trifling glyph of stamina","3","3","1","Maximum Stamina Enchantment","Adds |cffffff80|r Maximum Stamina.","crafted"
"970859","|H0:item:26588:123:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","123","trifling glyph of stamina","4","0","1","Maximum Stamina Enchantment","Adds |cffffff84|r Maximum Stamina.","unknown"
"969808","|H0:item:26588:5:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","5","trifling glyph of stamina","4","3","1","Maximum Stamina Enchantment","Adds |cffffff84|r Maximum Stamina.","dropped"
"969811","|H0:item:26588:8:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","8","trifling glyph of stamina","4","3","1","Maximum Stamina Enchantment","Adds |cffffff84|r Maximum Stamina.","dropped"
"970357","|H0:item:26588:23:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","23","trifling glyph of stamina","4","3","1","Maximum Stamina Enchantment","Adds |cffffff84|r Maximum Stamina.","crafted"
"970607","|H0:item:26588:28:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","28","trifling glyph of stamina","4","3","1","Maximum Stamina Enchantment","Adds |cffffff84|r Maximum Stamina.","crafted"
"970675","|H0:item:26588:33:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","33","trifling glyph of stamina","4","3","1","Maximum Stamina Enchantment","Adds |cffffff84|r Maximum Stamina.","crafted"
"970860","|H0:item:26588:124:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","124","trifling glyph of stamina","5","0","1","Maximum Stamina Enchantment","Adds |cffffff91|r Maximum Stamina.","unknown"
"969809","|H0:item:26588:6:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","6","trifling glyph of stamina","5","3","1","Maximum Stamina Enchantment","Adds |cffffff91|r Maximum Stamina.","dropped"
"970608","|H0:item:26588:29:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","29","trifling glyph of stamina","5","3","1","Maximum Stamina Enchantment","Adds |cffffff91|r Maximum Stamina.","crafted"
"970676","|H0:item:26588:34:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","34","trifling glyph of stamina","5","3","1","Maximum Stamina Enchantment","Adds |cffffff91|r Maximum Stamina.","crafted"
"970358","|H0:item:26588:24:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","24","trifling glyph of stamina","5","4","1","Maximum Stamina Enchantment","Adds |cffffff91|r Maximum Stamina.","crafted"
"969813","|H0:item:26588:1:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","1","trifling glyph of stamina","0","1","2","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","dropped"
"971158","|H0:item:26588:177:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","177","trifling glyph of stamina","0","1","2","","","unknown"
"969814","|H0:item:26588:2:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","2","trifling glyph of stamina","1","1","2","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","dropped"
"971108","|H0:item:26588:175:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","175","trifling glyph of stamina","1","1","2","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","unknown"
"970359","|H0:item:26588:20:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","20","trifling glyph of stamina","1","2","2","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","crafted"
"970609","|H0:item:26588:25:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","25","trifling glyph of stamina","1","2","2","Maximum Stamina Enchantment","Adds |cffffff70|r Maximum Stamina.","crafted"
"970861","|H0:item:26588:121:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","2","121","trifling glyph of stamina","2","1","2","Maximum Stamina Enchantment","Adds |cffffff75|r Maximum Stamina.","unknown"
