"id","logId","link","itemId","internalLevel","internalSubtype","potionData","name","description","style","trait","quality","value","level","type","equipType","weaponType","armorType","craftType","armorRating","weaponPower","cond","enchantId","enchantLevel","enchantSubtype","enchantName","enchantDesc","maxCharges","abilityName","abilityDesc","abilityCooldown","setName","setBonusCount","setMaxEquipCount","setBonusCount1","setBonusCount2","setBonusCount3","setBonusCount4","setBonusCount5","setBonusDesc1","setBonusDesc2","setBonusDesc3","setBonusDesc4","setBonusDesc5","glyphMinLevel","glyphMaxLevel","runeType","runeRank","bindType","siegeHP","bookTitle","craftSkillRank","recipeRank","recipeQuality","refinedItemLink","resultItemLink","materialLevelDesc","traitDesc","traitAbilityDesc","traitCooldown","isUnique","isUniqueEquipped","isVendorTrash","isArmorDecay","isConsumable","icon","comment","tags","dyeData"
"17196408","-1","|H0:item:63757:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","0","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","?","",""
"17196410","-1","|H0:item:63757:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","1","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196419","-1","|H0:item:63757:1:2:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","2","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196428","-1","|H0:item:63757:1:3:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","3","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196437","-1","|H0:item:63757:1:4:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","4","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196446","-1","|H0:item:63757:1:5:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","5","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196455","-1","|H0:item:63757:1:6:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","6","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196464","-1","|H0:item:63757:1:7:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","7","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196473","-1","|H0:item:63757:1:8:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","8","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196482","-1","|H0:item:63757:1:9:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","9","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196491","-1","|H0:item:63757:1:10:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","10","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196500","-1","|H0:item:63757:1:11:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","11","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196509","-1","|H0:item:63757:1:12:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","12","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196518","-1","|H0:item:63757:1:13:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","13","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196527","-1","|H0:item:63757:1:14:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","14","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196536","-1","|H0:item:63757:1:15:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","15","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196545","-1","|H0:item:63757:1:16:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","16","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196554","-1","|H0:item:63757:1:17:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","17","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196563","-1","|H0:item:63757:1:18:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","18","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196572","-1","|H0:item:63757:1:19:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","19","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196581","-1","|H0:item:63757:1:20:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","20","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196590","-1","|H0:item:63757:1:21:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","21","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196599","-1","|H0:item:63757:1:22:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","22","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196608","-1","|H0:item:63757:1:23:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","23","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196617","-1","|H0:item:63757:1:24:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","24","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196626","-1","|H0:item:63757:1:25:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","25","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196635","-1","|H0:item:63757:1:26:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","26","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196644","-1","|H0:item:63757:1:27:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","27","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196653","-1","|H0:item:63757:1:28:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","28","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196662","-1","|H0:item:63757:1:29:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","29","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196671","-1","|H0:item:63757:1:30:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","30","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196680","-1","|H0:item:63757:1:31:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","31","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196689","-1","|H0:item:63757:1:32:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","32","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196698","-1","|H0:item:63757:1:33:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","33","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196707","-1","|H0:item:63757:1:34:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","34","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196716","-1","|H0:item:63757:1:35:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","35","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196725","-1","|H0:item:63757:1:36:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","36","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196734","-1","|H0:item:63757:1:37:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","37","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196743","-1","|H0:item:63757:1:38:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","38","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196752","-1","|H0:item:63757:1:39:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","39","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196761","-1","|H0:item:63757:1:40:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","40","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196770","-1","|H0:item:63757:1:41:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","41","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196779","-1","|H0:item:63757:1:42:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","42","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196788","-1","|H0:item:63757:1:43:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","43","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196797","-1","|H0:item:63757:1:44:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","44","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196806","-1","|H0:item:63757:1:45:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","45","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
"17196815","-1","|H0:item:63757:1:46:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","63757","46","1","0","Vested Shirt and Cuffs","A respectable shirt with matching vest and cuffs.","1","0","0","6","1","2","3","0","0","-1","0","0","0","0","0","0","","","-1","","","-1","","-1","0","-1","-1","-1","-1","-1","","","","","","-1","-1","-1","-1","0","-1","","-1","-1","-1","","","","","","-1","1","1","1","1","1","/esoui/art/icons/quest_clothing_001.dds","dropped","",""
