"id","link","internalLevel","internalSubtype","name","trait","quality","value","level","type","equipType","weaponType","armorType","armorRating","weaponPower","cond","enchantName","enchantDesc","setName","setBonusCount","setMaxEquipCount","setBonusCount1","setBonusCount2","setBonusCount3","setBonusCount4","setBonusDesc1","setBonusDesc2","setBonusDesc3","setBonusDesc4","bindType","traitDesc","comment"
"19219933","|H0:item:68118:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","1","Molag Kena's Mask","18","0","1","-1","2","1","0","2","0","0","0","","","Molag Kena","3","0","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 0 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 2.5%.","?"
"19219932","|H0:item:68118:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","0","Molag Kena's Mask","18","1","1","-1","2","1","0","2","0","0","0","","","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 0 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","?"
"19219935","|H0:item:68118:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","1","Molag Kena's Mask","18","0","3","1","2","1","0","2","38","0","0","","","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 2.5%.","dropped"
"19221288","|H0:item:68118:177:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","177","Molag Kena's Mask","18","0","6","1","2","1","0","2","59","0","0","","","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 2.5%.","unknown"
"19219934","|H0:item:68118:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","0","Molag Kena's Mask","18","1","3","1","2","1","0","2","38","0","0","","","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","?"
"19221238","|H0:item:68118:175:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","175","Molag Kena's Mask","18","1","3","1","2","1","0","2","38","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","unknown"
"19219936","|H0:item:68118:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","2","Molag Kena's Mask","18","1","6","1","2","1","0","2","59","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","dropped"
"19220735","|H0:item:68118:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","25","Molag Kena's Mask","18","1","8","1","2","1","0","2","80","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 4 Weapon Damage","Adds 4 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 18 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","crafted"
"19220485","|H0:item:68118:20:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","20","Molag Kena's Mask","18","1","10","1","2","1","0","2","101","0","0","Maximum Stamina Enchantment","Adds 70 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 6 Weapon Damage","Adds 6 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 24 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 3.5%.","crafted"
"19220988","|H0:item:68118:121:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","121","Molag Kena's Mask","18","2","3","1","2","1","0","2","38","0","0","Maximum Stamina Enchantment","Adds 75 Maximum Stamina.","Molag Kena","3","2","1","1","2","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","1","Increases Mundus Stone effects by 4.5%.","unknown"
