"id","link","internalLevel","internalSubtype","quality","value","level","armorRating","enchantName","enchantDesc","setMaxEquipCount","setBonusDesc1","setBonusDesc2","setBonusDesc3","traitDesc","comment"
"19221416","|H0:item:68119:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","1","0","1","-1","0","","","0","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 0 but also increases the cost of your abilities by 33%.","Reduces block cost by 1.5%.","?"
"19221415","|H0:item:68119:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","0","0","1","1","-1","0","","","2","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 0 but also increases the cost of your abilities by 33%.","Reduces block cost by 2%.","?"
"19221418","|H0:item:68119:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","1","0","3","1","31","","","2","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","Reduces block cost by 1.5%.","dropped"
"19222771","|H0:item:68119:177:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","177","0","6","1","45","","","2","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","Reduces block cost by 1.5%.","unknown"
"19221417","|H0:item:68119:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","0","1","3","1","31","","","2","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","Reduces block cost by 2%.","?"
"19222721","|H0:item:68119:175:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","175","1","3","1","31","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","2","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","Reduces block cost by 2%.","unknown"
"19221419","|H0:item:68119:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","2","1","6","1","45","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","2","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","Reduces block cost by 2%.","dropped"
"19222218","|H0:item:68119:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","25","1","8","1","59","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","2","(1 item) Adds 4 Weapon Damage","Adds 4 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 18 but also increases the cost of your abilities by 33%.","Reduces block cost by 2%.","crafted"
"19221968","|H0:item:68119:20:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","20","1","10","1","73","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","2","(1 item) Adds 6 Weapon Damage","Adds 6 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 24 but also increases the cost of your abilities by 33%.","Reduces block cost by 2%.","crafted"
"19222471","|H0:item:68119:121:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","121","2","3","1","31","Maximum Magicka Enchantment","Adds 75 Maximum Magicka.","2","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","Reduces block cost by 2.5%.","unknown"
"19221918","|H0:item:68119:19:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","1","19","2","10","1","73","Maximum Magicka Enchantment","Adds 75 Maximum Magicka.","2","(1 item) Adds 6 Weapon Damage","Adds 6 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 24 but also increases the cost of your abilities by 33%.","Reduces block cost by 2.5%.","unknown"
