"id","logId","link","itemId","internalLevel","internalSubtype","potionData","name","description","style","trait","quality","value","level","type","equipType","weaponType","armorType","craftType","armorRating","weaponPower","cond","enchantId","enchantLevel","enchantSubtype","enchantName","enchantDesc","maxCharges","abilityName","abilityDesc","abilityCooldown","setName","setBonusCount","setMaxEquipCount","setBonusCount1","setBonusCount2","setBonusCount3","setBonusCount4","setBonusCount5","setBonusDesc1","setBonusDesc2","setBonusDesc3","setBonusDesc4","setBonusDesc5","glyphMinLevel","glyphMaxLevel","runeType","runeRank","bindType","siegeHP","bookTitle","craftSkillRank","recipeRank","recipeQuality","refinedItemLink","resultItemLink","materialLevelDesc","traitDesc","traitAbilityDesc","traitCooldown","isUnique","isUniqueEquipped","isVendorTrash","isArmorDecay","isConsumable","icon","comment","tags","dyeData"
"19222899","-1","|H0:item:68120:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","0","1","0","Molag Kena's Guise","","0","12","0","1","-1","2","1","0","1","-1","0","0","0","0","0","0","","","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 0 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 0 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","?","",""
"19222898","-1","|H0:item:68120:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","0","0","0","Molag Kena's Guise","","0","12","1","1","-1","2","1","0","1","-1","0","0","0","0","0","0","","","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 0 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 0 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","?","",""
"19222901","-1","|H0:item:68120:1:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","1","0","Molag Kena's Guise","","0","12","0","3","1","2","1","0","1","-1","31","0","0","0","0","0","","","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 3 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","dropped","",""
"19224254","-1","|H0:item:68120:177:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","177","0","Molag Kena's Guise","","0","12","0","6","1","2","1","0","1","-1","45","0","0","0","0","0","","","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 6 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","unknown","",""
"19222900","-1","|H0:item:68120:0:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","0","0","Molag Kena's Guise","","0","12","1","3","1","2","1","0","1","-1","31","0","0","0","0","0","","","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 3 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","?","",""
"19224204","-1","|H0:item:68120:175:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","175","0","Molag Kena's Guise","","0","12","1","3","1","2","1","0","1","-1","31","0","0","0","0","0","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 3 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","unknown","",""
"19222902","-1","|H0:item:68120:2:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","2","0","Molag Kena's Guise","","0","12","1","6","1","2","1","0","1","-1","45","0","0","0","0","0","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 3 Weapon Damage","Adds 3 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 12 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 6 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","dropped","",""
"19223701","-1","|H0:item:68120:25:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","25","0","Molag Kena's Guise","","0","12","1","8","1","2","1","0","1","-1","59","0","0","0","0","0","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 4 Weapon Damage","Adds 4 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 18 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 9 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","crafted","",""
"19223451","-1","|H0:item:68120:20:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","20","0","Molag Kena's Guise","","0","12","1","10","1","2","1","0","1","-1","73","0","0","0","0","0","Maximum Magicka Enchantment","Adds 70 Maximum Magicka.","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 6 Weapon Damage","Adds 6 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 24 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 12 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","crafted","",""
"19223954","-1","|H0:item:68120:121:1:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0:0|h|h","68120","1","121","0","Molag Kena's Guise","","0","12","2","3","1","2","1","0","1","-1","31","0","0","0","0","0","Maximum Magicka Enchantment","Adds 75 Maximum Magicka.","-1","","","-1","Molag Kena","3","2","1","1","2","-1","-1","(1 item) Adds 1 Weapon Damage","Adds 1 Spell Damage","(2 items) When you deal damage with |cffffff2|r consecutive Light Attacks you trigger |cffffffOverkill|r for |cffffff6|r seconds, which increases your Weapon and Spell Damage by 6 but also increases the cost of your abilities by 33%.","","","-1","-1","-1","-1","1","-1","","-1","-1","-1","","","","Increase your Critical Resistance by 3 and this item takes |cffffff50|r% less durability damage.","","-1","1","1","1","1","1","/esoui/art/icons/gear_undauntedclivia_head_a.dds","unknown","",""
